FTHG,FTAG,HTR,HTHG,AST,HTAG,AF,HST,BWA,HS
1.0,1.0,0,0.0,6.0,1.0,15.0,3.0,3.8,12.0
1.0,0.0,2,1.0,4.0,0.0,10.0,7.0,3.5,15.0
2.0,1.0,0,0.0,4.0,1.0,14.0,4.0,2.75,16.0
0.0,2.0,1,0.0,5.0,0.0,14.0,3.0,2.3,6.0
2.0,0.0,2,2.0,6.0,0.0,15.0,6.0,2.0,10.0
0.0,3.0,0,0.0,4.0,1.0,12.0,5.0,1.7,6.0
1.0,3.0,0,1.0,4.0,2.0,7.0,6.0,2.05,16.0
0.0,2.0,0,0.0,8.0,1.0,15.0,0.0,5.75,10.0
3.0,1.0,1,1.0,2.0,1.0,10.0,8.0,8.75,20.0
0.0,2.0,1,0.0,4.0,0.0,20.0,1.0,4.6,9.0
0.0,0.0,1,0.0,1.0,0.0,15.0,3.0,1.34,4.0
1.0,2.0,1,0.0,4.0,0.0,7.0,4.0,3.4,14.0
3.0,4.0,2,2.0,9.0,1.0,15.0,5.0,2.05,10.0
3.0,2.0,0,0.0,4.0,1.0,11.0,4.0,4.0,14.0
0.0,1.0,1,0.0,2.0,0.0,10.0,2.0,4.6,19.0
0.0,2.0,0,0.0,4.0,2.0,8.0,4.0,2.3,19.0
5.0,2.0,2,2.0,6.0,1.0,12.0,9.0,2.05,14.0
3.0,0.0,1,0.0,1.0,0.0,16.0,8.0,4.4,14.0
1.0,2.0,1,0.0,5.0,0.0,12.0,2.0,3.1,7.0
2.0,0.0,2,2.0,5.0,0.0,11.0,6.0,2.45,15.0
2.0,3.0,0,0.0,4.0,2.0,21.0,6.0,1.83,21.0
1.0,1.0,1,1.0,4.0,1.0,17.0,4.0,3.4,13.0
2.0,0.0,1,0.0,2.0,0.0,10.0,6.0,3.2,16.0
2.0,3.0,0,0.0,3.0,2.0,9.0,5.0,2.0,14.0
0.0,5.0,0,0.0,7.0,3.0,13.0,1.0,1.58,9.0
1.0,3.0,0,0.0,8.0,1.0,6.0,2.0,2.45,15.0
1.0,1.0,1,0.0,5.0,0.0,8.0,5.0,2.4,17.0
1.0,0.0,1,0.0,3.0,0.0,15.0,4.0,4.33,7.0
4.0,2.0,2,2.0,5.0,0.0,9.0,12.0,4.25,20.0
0.0,0.0,1,0.0,1.0,0.0,14.0,3.0,5.75,21.0
1.0,0.0,2,1.0,9.0,0.0,9.0,2.0,2.0,6.0
3.0,4.0,2,2.0,7.0,0.0,13.0,5.0,2.2,10.0
0.0,0.0,1,0.0,6.0,0.0,14.0,3.0,1.57,8.0
0.0,0.0,1,0.0,5.0,0.0,22.0,3.0,1.78,6.0
3.0,1.0,2,1.0,3.0,0.0,10.0,9.0,4.33,19.0
2.0,0.0,1,0.0,0.0,0.0,10.0,8.0,2.8,23.0
2.0,2.0,0,1.0,5.0,2.0,12.0,7.0,3.0,24.0
1.0,2.0,1,1.0,3.0,1.0,13.0,3.0,1.62,12.0
2.0,1.0,1,0.0,1.0,0.0,8.0,7.0,6.75,11.0
1.0,1.0,1,0.0,3.0,0.0,8.0,7.0,7.0,20.0
2.0,1.0,0,0.0,5.0,1.0,20.0,5.0,2.45,10.0
1.0,1.0,1,0.0,0.0,0.0,15.0,6.0,3.6,17.0
4.0,1.0,2,2.0,4.0,0.0,8.0,10.0,8.0,19.0
2.0,0.0,2,2.0,2.0,0.0,11.0,4.0,4.6,13.0
2.0,1.0,0,0.0,3.0,1.0,9.0,8.0,1.66,12.0
2.0,3.0,2,1.0,7.0,0.0,17.0,3.0,2.0,10.0
5.0,1.0,2,2.0,2.0,1.0,12.0,13.0,3.9,21.0
4.0,1.0,1,0.0,5.0,0.0,13.0,7.0,3.0,12.0
1.0,0.0,1,0.0,3.0,0.0,13.0,5.0,4.33,14.0
0.0,3.0,0,0.0,5.0,1.0,9.0,1.0,2.4,7.0
0.0,1.0,0,0.0,4.0,1.0,9.0,4.0,2.35,8.0
1.0,3.0,1,1.0,6.0,1.0,7.0,4.0,2.05,9.0
0.0,2.0,0,0.0,6.0,1.0,17.0,4.0,4.1,10.0
2.0,2.0,2,2.0,5.0,0.0,12.0,8.0,4.5,21.0
0.0,0.0,1,0.0,4.0,0.0,10.0,0.0,2.55,7.0
1.0,1.0,2,1.0,7.0,0.0,7.0,4.0,1.98,10.0
4.0,0.0,2,2.0,1.0,0.0,14.0,10.0,7.75,22.0
2.0,1.0,1,1.0,4.0,1.0,6.0,2.0,1.78,6.0
